Designator,Mid X,Mid Y,Rotation,Layer
C1,18.0,6.3,180.0,top
C10,18.4,4.5,180.0,top
C11,28.7,2.4,0.0,top
C12,28.7,4.9,0.0,top
C13,20.0,10.5,90.0,top
C14,30.8,7.2,90.0,top
C15,10.9,6.5,90.0,top
C16,14.1,0.7,0.0,top
C17,16.1,3.8,0.0,top
C18,16.1,7.2,0.0,top
C19,16.1,2.4,0.0,top
C2,12.2,12.35,270.0,top
C20,16.1,4.8,0.0,top
C21,11.55,10.45,90.0,top
C22,23.5,0.8,180.0,top
C23,29.3,12.7,270.0,top
C24,15.325,12.175,180.0,top
C25,14.8,9.35,0.0,top
C26,9.5,12.3,270.0,top
C27,10.7,9.45,90.0,top
C28,28.4,12.7,270.0,top
C29,20.0,12.675,90.0,top
C3,21.8,0.8,180.0,top
C30,18.2,12.675,90.0,top
C4,28.7,3.5,0.0,top
C5,18.2,1.1,90.0,top
C6,30.4,3.3,0.0,top
C7,28.7,5.8,0.0,top
C8,17.3,1.1,90.0,top
C9,18.4,5.4,180.0,top
D1,30.6,1.5,180.0,top
D2,16.5,13.1,180.0,top
D3,9.2,8.85,0.0,top
F1,30.15,11.15,180.0,top
FB1,19.1,11.475,270.0,top
J1,37.0,7.0,90.0,top
J2,0.0,1.0,180.0,bottom
J3,33.5,0.0,270.0,bottom
J4,30.5,14.0,90.0,bottom
Q1,5.2,12.3,0.0,top
R1,19.1,1.1,90.0,top
R10,3.1,10.9,180.0,top
R11,8.525,7.0,180.0,top
R12,13.15,9.95,180.0,top
R13,13.15,10.8,180.0,top
R14,9.0,10.0,0.0,top
R15,8.6,12.3,270.0,top
R16,9.0,10.9,0.0,top
R17,16.5,8.9,270.0,top
R18,1.55,9.95,0.0,top
R19,3.4,12.3,270.0,top
R2,30.8,9.4,90.0,top
R20,5.3,10.9,0.0,top
R21,16.85,10.7,270.0,top
R22,8.8,5.9,180.0,top
R23,1.0,12.2,270.0,top
R24,1.35,10.9,180.0,top
R25,17.75,10.7,270.0,top
R26,9.75,7.45,270.0,top
R27,11.95,8.65,180.0,top
R28,32.4,12.75,0.0,top
R29,30.7,12.75,0.0,top
R3,33.25,1.25,180.0,top
R4,35.25,1.25,180.0,top
R5,27.0,0.9,180.0,top
R6,25.2,0.8,180.0,top
R7,28.7,1.5,180.0,top
R8,16.4,1.1,90.0,top
R9,8.525,7.9,0.0,top
SW1,24.0,12.0,0.0,top
U1,12.3,1.9,180.0,top
U10,12.3,6.9,180.0,top
U11,14.3,7.9,180.0,top
U12,15.35,10.825,90.0,top
U13,10.95,12.3,90.0,top
U14,13.465,12.3,90.0,top
U2,14.3,2.9,180.0,top
U3,29.1,8.3,270.0,top
U4,9.5,3.2,180.0,top
U5,4.3,6.0,0.0,top
U6,23.5,5.6,270.0,top
U7,30.8,4.9,90.0,top
U8,12.3,4.4,180.0,top
U9,14.3,5.4,180.0,top
X1,18.2,8.2,270.0,top
